+----------------------------------+--------------+----------------------------------------------------------------------------------------------------------------+---------------------+---------------------+---------------------+-----------+
| token                            | weights_type | title                                                                                                          | created_at          | user_deleted_at     | mod_deleted_at      | use_count |
+----------------------------------+--------------+----------------------------------------------------------------------------------------------------------------+---------------------+---------------------+---------------------+-----------+
| weight_hz7g8f1j4psrsw2sv67e4y61q | tt2          | Mariano Closs (Relator de fútbol Argentino)                                                                    | 2022-04-11 01:45:01 | NULL                | NULL                |   1951475 |
| weight_rhfg4chgrp42bnha8kqfrtmcq | tt2          | Mariano Closs (full version)                                                                                   | 2022-04-28 20:57:04 | NULL                | NULL                |   1372568 |
| weight_83bv8pnva9vewht8zpye1x060 | tt2          | Dragonball Z Narrador (Latin, Version 1.0)                                                                     | 2022-07-28 05:05:33 | NULL                | NULL                |    986900 |
| weight_mbcr352wfb1eq76tpy3ef3kx1 | tt2          | Lionel Messi                                                                                                   | 2022-09-08 22:50:12 | NULL                | NULL                |    742873 |
| weight_kwmxssf6k6ha92h3b55mh3w9q | tt2          | Waldemaro Martínez. (Locutor de DJ, Latin American Spanish.)                                                   | 2022-12-22 02:59:57 | NULL                | NULL                |    536753 |
| weight_47hcjvnyfff60g4vty4thp400 | tt2          | Bob Esponja (SpongeBob SquarePants, Latin American Spanish)                                                    | 2022-02-13 01:55:52 | NULL                | NULL                |    519922 |
| weight_s0zjjkmht28dp4gm83e6xvjdk | tt2          | Auronplay (época de YouTube)                                                                                   | 2022-06-14 15:59:00 | NULL                | NULL                |    462350 |
| weight_x6r5w2tsxgcrrsgweva6dkrqj | tt2          | Donald Trump (Angry)                                                                                           | 2022-08-29 11:49:46 | NULL                | NULL                |    345766 |
| weight_fte9rq3em7vv9rqex0f8cvwdx | tt2          | Mariano Closs Tono Alto (Relator Fox Sports, Espn)                                                             | 2022-07-16 02:09:31 | NULL                | NULL                |    340256 |
| weight_fa64z5e2yg5ngrpff6qyv4vdv | tt2          | Homero Simpson (Homer Simpson Latin American Spanish)                                                          | 2022-02-22 14:49:38 | 2022-12-25 14:50:39 | NULL                |    338012 |
| weight_8p7s8cgxx0mytghejq53d81rk | tt2          | Andrew Tate                                                                                                    | 2023-01-11 04:50:01 | NULL                | NULL                |    319733 |
| weight_x59j84hsy4zf8zj1rta0f2c0a | tt2          | Toretto (Fast and Furious, Latin American Spanish)                                                             | 2022-02-13 14:38:55 | NULL                | NULL                |    316293 |
| weight_0bsxzrwp6p77t67s8dcn607wf | tt2          | Walter White (New)                                                                                             | 2022-12-13 07:35:03 | NULL                | NULL                |    310016 |
| weight_ren3ng1bvpktsvg58gcrv2s52 | tt2          | Cristiano Ronaldo                                                                                              | 2023-02-18 17:16:22 | NULL                | NULL                |    298557 |
| weight_ms1kzt5m09cfw1yn666cxhy88 | tt2          | Gerry Scotti                                                                                                   | 2022-09-29 22:14:26 | NULL                | NULL                |    291854 |
| weight_81waz0re2yzgw2fnmj0ah94zc | tt2          | Leonel Messi (Español)                                                                                         | 2022-06-05 13:31:20 | NULL                | NULL                |    283416 |
| weight_jzs5qmvtbvk934680ghfp48cf | tt2          | Homero Simpson (Homer Simpson Latin American Spanish)                                                          | 2022-12-25 14:52:16 | NULL                | NULL                |    273545 |
| weight_79mn6535kkfey17bgpg9xty23 | tt2          | Doc Tops (Dr. Luca Merlini)                                                                                    | 2022-04-08 00:22:00 | NULL                | NULL                |    259961 |
| weight_r95f5pvvstgps0ychfqrzpfs3 | tt2          | Dragonball Z Narrador (Latin, Versión 2.0)                                                                     | 2023-02-04 11:21:06 | NULL                | NULL                |    256109 |
| weight_xncg7d5sd1dqn16bqvwp53mcz | tt2          | Donald Trump (OLD, 45th U.S. President)                                                                        | 2022-01-15 22:54:59 | NULL                | NULL                |    254412 |
| weight_abe03ym9bztnzvx462kkc3fak | tt2          | Merlina Addams                                                                                                 | 2023-01-30 01:20:47 | NULL                | NULL                |    248428 |
| weight_1t2c4za7r4p72t4trv59e95g6 | tt2          | Bart Simpson (Latin American Spanish) (seasons 9-15, 32-present)                                               | 2021-12-06 19:45:25 | NULL                | NULL                |    237259 |
| weight_yqa40gybn0y850gg9dtq6rx3y | tt2          | Goku. (IMITADORES.) (Dragon Ball, Latin American Spanish.)                                                     | 2022-12-25 13:37:37 | 2023-10-07 20:15:13 | NULL                |    231965 |
| weight_7xjrdr1rxqja0skbnbay4pq27 | tt2          | SpongeBob SquarePants (Seasons 1 & 2)                                                                          | 2022-10-18 05:34:15 | NULL                | NULL                |    223948 |
| weight_vrx7j407cxk45jenkrd769h9b | tt2          | Donald Trump (Casual Speech)                                                                                   | 2022-09-05 01:56:36 | NULL                | NULL                |    216593 |
| weight_y9arhnd7wjamezhqd27ksvmaz | tt2          | Squidward Tentacles                                                                                            | 2021-10-30 15:21:53 | NULL                | NULL                |    194415 |
| weight_154man2fzg19nrtc15drner7t | tt2          | Patrick Star                                                                                                   | 2021-09-21 18:30:52 | NULL                | NULL                |    190656 |
| weight_f4av238kbadw9h258v1cq1mxw | tt2          | Saul Goodman                                                                                                   | 2022-09-10 13:30:24 | NULL                | NULL                |    187283 |
| weight_w57evactjaav749evbv9n4wdj | tt2          | Demoman (Team Fortress 2)                                                                                      | 2023-08-08 21:41:26 | NULL                | NULL                |    182031 |
| weight_9qtkb923p7tx6z4srxn08she8 | tt2          | Son Goku (OLD, Sean Schemmel)                                                                                  | 2021-11-10 21:11:40 | NULL                | 2023-02-10 01:06:00 |    179770 |
| weight_3dnyrwny7d4585pcfjdrghxsq | tt2          | Gustavo Fring (Giancarlo Esposito)                                                                             | 2022-10-14 21:20:08 | NULL                | NULL                |    179219 |
| weight_ahxbf2104ngsgyegncaefyy6j | tt2          | Plankton v2 (Doug Lawrence)                                                                                    | 2022-08-11 06:19:56 | NULL                | NULL                |    176768 |
| weight_2ekv0zz1545pdbcn14919p028 | tt2          | 2Pac (Tupac Amaru Shakur) (ARPAbet supported)                                                                  | 2022-01-18 14:39:34 | NULL                | NULL                |    171638 |
| weight_bwbb3f6zq39wx37ppnagbzcx6 | tt2          | Scout TF2 (Hi-Fi GAN)                                                                                          | 2022-10-03 19:17:29 | NULL                | NULL                |    167841 |
| weight_zyadhwrc3bspetkxcma5300gs | tt2          | Peter Griffin (Classic, Version 2.0)                                                                           | 2023-01-26 05:24:39 | NULL                | NULL                |    167657 |
| weight_0dgykejz7d7d81c0wqwb1abvm | tt2          | Narrador Pelis Antiguas                                                                                        | 2022-08-06 23:18:24 | NULL                | 2023-05-11 13:28:16 |    164326 |
| weight_wn689844yyr08jny6jyyvkwcp | tt2          | Goku (Italiano)                                                                                                | 2022-11-04 07:22:26 | NULL                | NULL                |    163243 |
| weight_jr3ngvds5ptme727retp627vm | tt2          | Fernanfloo (Latinamerican Spanish, Youtubers)                                                                  | 2021-11-24 17:07:45 | 2023-01-28 18:21:51 | NULL                |    160281 |
| weight_z303xd3evv37vfkv11ys0z453 | tt2          | Mariano Closs (Relator ESPN Argentina)                                                                         | 2022-04-15 21:36:00 | 2022-07-16 02:06:41 | NULL                |    159943 |
| weight_t7a4br08b76btnnwkb32tsh7q | tt2          | Cristiano Ronaldo. (Español) Versión 2.                                                                        | 2023-10-05 15:12:04 | NULL                | NULL                |    152396 |
| weight_txvtzmcd7jw0rg192284r1g3w | tt2          | Son Goku. (IMITADOR Remasterizado.) (Dragon Ball, Latin American Spanish.)                                     | 2023-10-07 20:10:36 | NULL                | NULL                |    150417 |
| weight_rsb4n5rfr5ty0r8mg7nz06rej | tt2          | Sonic The Hedgehog (Jason Griffith)                                                                            | 2021-08-30 01:43:58 | NULL                | NULL                |    144657 |
| weight_7eqbjjrgmyvt0qsfq53bvew2q | tt2          | Joe Biden (46th U.S. President)                                                                                | 2023-03-14 20:05:42 | NULL                | NULL                |    141963 |
| weight_1skw07c432vxbb3cd6mpyab7d | tt2          | Morgan Freeman (Old)                                                                                           | 2022-09-08 03:02:05 | NULL                | NULL                |    140753 |
| weight_f95vtyq4nq0y0p2nxqgergpcq | tt2          | Naruto Uzumaki (Part 1)                                                                                        | 2022-12-22 02:16:09 | NULL                | NULL                |    138099 |
| weight_828jq9waqx5g9dzp7gr6a2a1p | tt2          | Kanye West (V4)                                                                                                | 2022-10-09 00:18:56 | NULL                | NULL                |    135460 |
| weight_324nvat7xvaawe146na154gwh | tt2          | Silvio Berlusconi                                                                                              | 2022-09-15 15:25:33 | NULL                | NULL                |    134491 |
| weight_kksrk14y802808as3d6mphedm | tt2          | Wednesday Addams (Jenna Ortega)                                                                                | 2023-03-06 21:22:52 | NULL                | NULL                |    133521 |
| weight_y0qwsbmqscnqhp5m512hawgc3 | tt2          | Michael Jackson (Singing)                                                                                      | 2022-09-25 10:49:49 | NULL                | NULL                |    129575 |
